"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00200228","ANN ARBOR SE, MI US","2020-03-06","0.06","0.0","0.0","50","20","34"
"USC00200228","ANN ARBOR SE, MI US","2020-03-07","0.01","0.0","0.0","36","17","17"
"USC00200228","ANN ARBOR SE, MI US","2020-03-08","0.00","0.0","0.0","46","17","33"
"USC00200228","ANN ARBOR SE, MI US","2020-03-09","0.00","0.0","0.0","61","33","41"
"USC00200228","ANN ARBOR SE, MI US","2020-03-10","0.22","0.0","0.0","61","41","51"
"USC00200228","ANN ARBOR SE, MI US","2020-03-11","0.00","0.0","0.0","52","29","33"
"USC00200228","ANN ARBOR SE, MI US","2020-03-12","0.02","0.0","0.0","43","33","38"
"USC00200228","ANN ARBOR SE, MI US","2020-03-13","0.02","0.0","0.0","52","38","38"
"USC00200228","ANN ARBOR SE, MI US","2020-03-14","0.00","0.0","0.0","49","30","31"
"USC00200228","ANN ARBOR SE, MI US","2020-03-15","0.00","0.0","0.0","38","28","28"
"USC00200228","ANN ARBOR SE, MI US","2020-03-16","0.00","0.0","0.0","47","22","23"
"USC00200228","ANN ARBOR SE, MI US","2020-03-17","0.01","0.0","0.0","48","23","37"
"USC00200228","ANN ARBOR SE, MI US","2020-03-18","0.00","0.0","0.0","52","27","29"
"USC00200228","ANN ARBOR SE, MI US","2020-03-19","0.44","0.0","0.0","46","29","39"
"USC00200228","ANN ARBOR SE, MI US","2020-03-20","0.36","0.0","0.0","62","39","61"
"USC00200228","ANN ARBOR SE, MI US","2020-03-21","0.00","0.0","0.0","62","25","25"
"USC00200228","ANN ARBOR SE, MI US","2020-03-22","0.00","0.0","0.0","39","17","18"
"USC00200228","ANN ARBOR SE, MI US","2020-03-23","0.20","2.1","2.0","40","18","32"
"USC00200228","ANN ARBOR SE, MI US","2020-03-24","0.05","0.2","0.0","44","32","35"
"USC00200228","ANN ARBOR SE, MI US","2020-03-25","0.00","0.0","0.0","45","27","27"
"USC00200228","ANN ARBOR SE, MI US","2020-03-26","0.00","0.0","0.0","57","27","44"
"USC00200228","ANN ARBOR SE, MI US","2020-03-27","0.27","0.0","0.0","58","38","38"
"USC00200228","ANN ARBOR SE, MI US","2020-03-28","1.54","0.0","0.0","51","36","42"
"USC00200228","ANN ARBOR SE, MI US","2020-03-29","0.64","0.0","0.0","50","42","50"
"USC00200228","ANN ARBOR SE, MI US","2020-03-30","0.03","0.0","0.0","62","40","40"
